,ifm_terminal_frequency,ifm_peak_amplitude,ifm_region_id,ifm_stop,ifm_duration,ifm_rms,ifm_peak_frequency,ifm_start,ifm_peak_freq_resolution,cf_terminal_frequency,cf_peak_amplitude,cf_region_id,cf_stop,cf_duration,cf_rms,cf_peak_frequency,cf_start,cf_peak_freq_resolution,tfm_terminal_frequency,tfm_peak_amplitude,tfm_region_id,tfm_stop,tfm_duration,tfm_rms,tfm_peak_frequency,tfm_start,tfm_peak_freq_resolution,audio_file,terminal_frequency_threshold,video_annot_id,num_bats,0,duration,peak_freq_resolution,ifm-cf_dbratio,tfm-cf_dbratio,ifm-peak_db,tfm-peak_db,tfm_dbrms,ifm_dbrms,cf_dbrms,cf-peak_db
0,93830.33419023137,0.25933837890625,fm1,0.001556,0.001556,0.12597613578698727,103470.43701799486,0.0,1282.051282051282,105705.84223687203,0.406402587890625,cf1,0.019152000000000002,0.017596,0.1724717169934754,105876.33553080246,0.001556,113.63636363636364,92566.61991584854,0.110443115234375,fm2,0.022004,0.002852,0.06158563532098237,93267.88218793827,0.019152000000000002,700.2801120448178,segment_matching_annotaudio_Aditya_2018-08-16_21502300_100_hp,-10,Aditya_2018-08-16_21502300_100,2,,,,-2.7285920857297223,-8.944769217860493,-11.722664164124446,-19.13722703703037,-24.210411480195788,-17.99423434806502,-15.265642262335295,-7.820870704293776
1,102803.73831775703,0.0198974609375,fm1,0.002048,0.00042800000000000005,0.009963750014004584,107476.6355140187,0.00162,4629.62962962963,107869.14235190097,0.142852783203125,cf1,0.020144,0.018096,0.07179725595825982,108090.18567639258,0.002048,110.4728236853734,89018.30282861898,0.0604248046875,fm2,0.022548,0.002404,0.0282424175003594,91098.16971713812,0.020144,830.5647840531561,segment_matching_annotaudio_Aditya_2018-08-16_21502300_101_hp,-10,Aditya_2018-08-16_21502300_101,1,,,,-17.15370046749348,-8.104119546446084,-34.024046784555956,-24.375694893963736,-30.981962623984195,-40.03154354503159,-22.87784307753811,-16.902225876645517
2,,,,,,,,,,105184.12118046486,0.052093505859375,cf1,0.016604,0.015316,0.025482519344664382,105379.9947767041,0.001288,130.54830287206266,88765.60332871012,0.0428466796875,fm1,0.019488,0.002884,0.015163151758899544,103675.4507628294,0.016604,692.5207756232687,segment_matching_annotaudio_Aditya_2018-08-16_21502300_102_hp,-10,Aditya_2018-08-16_21502300_102,1,,,,,-4.509057619675175,,-27.36165654331863,-36.38421036823176,,-31.875152748556594,-25.66432827689969
3,95756.88073394496,0.26312255859375,fm1,0.002412,0.001744,0.14970786853880247,103211.00917431193,0.000668,1141.552511415525,106966.14583333334,0.44232177734375,cf1,0.017772,0.015359999999999999,0.268992377568324,107096.35416666669,0.002412,130.1405517959396,92059.33682373473,0.301177978515625,fm2,0.020064,0.002292,0.17580923579717914,102966.84118673648,0.017772,871.0801393728223,segment_matching_annotaudio_Aditya_2018-08-16_21502300_104_hp,-10,Aditya_2018-08-16_21502300_104,1,,,,-5.089906928629176,-3.6939657485481447,-11.596838328836974,-10.423535719730951,-15.09916627689539,-16.495107456976424,-11.405200528347246,-7.08523355954917
4,99856.32183908047,0.043701171875,fm1,0.00244,0.001392,0.016832900866065904,104885.05747126436,0.001048,1428.571428571429,107272.98206278024,0.071075439453125,cf1,0.016712,0.014272,0.0348944906605024,107413.11659192824,0.00244,140.05602240896357,96547.31457800511,0.0301513671875,fm2,0.018276,0.001564,0.013245066447006735,107416.87979539644,0.016712,1275.5102040816328,segment_matching_annotaudio_Aditya_2018-08-16_21502300_106_hp,-10,Aditya_2018-08-16_21502300_106,1,,,,-6.331957955223118,-8.414054442469025,-27.190138339757624,-30.413859807441796,-37.55891717240714,-35.476820685161236,-29.14486272993811,-22.965608928500743
5,99326.59932659932,0.0228271484375,fm1,0.001236,0.001188,0.011683159813738929,106060.60606060603,4.8e-05,1677.8523489932886,106701.94003527338,0.0535888671875,cf1,0.014844,0.013608000000000002,0.028760863238608093,106848.91240446796,0.001236,146.88601645123384,97150.25906735752,0.046630859375,fm2,0.017159999999999998,0.002316,0.01918519491480509,103195.16407599306,0.014844,862.0689655172414,segment_matching_annotaudio_Aditya_2018-08-16_21502300_108_hp,-10,Aditya_2018-08-16_21502300_108,1,,,,-7.824831990643496,-3.5167140227524945,-32.83096674190513,-26.626531614400935,-34.34067568329372,-38.64879365118472,-30.823961660541226,-25.418508467792684
6,,,,,,,,,,105383.92657264383,0.0931396484375,cf1,0.018824,0.017868000000000002,0.04206609157944563,105551.82449070962,0.000956,111.9068934646374,92136.15023474178,0.04791259765625,fm1,0.020528,0.001704,0.021300936332128883,102699.53051643193,0.018824,1168.2242990654206,segment_matching_annotaudio_Aditya_2018-08-16_21502300_110_hp,-10,Aditya_2018-08-16_21502300_110,1,,,,,-5.910669373816917,,-26.39100565100968,-33.43202611438094,,-27.521356740564023,-20.617308113537504
7,95036.3196125908,0.041412353515625,fm1,0.002592,0.001652,0.017872060238507834,102905.56900726394,0.0009400000000000001,1207.729468599034,105358.2179409994,0.0709228515625,cf1,0.015880000000000002,0.013288,0.03980260410776258,105508.72968091512,0.002592,150.42117930204572,94943.82022471912,0.044189453125,fm2,0.01766,0.0017800000000000001,0.019298247559797047,103370.78651685393,0.015880000000000002,1121.0762331838564,segment_matching_annotaudio_Aditya_2018-08-16_21502300_111_hp,-10,Aditya_2018-08-16_21502300_111,1,,,,-6.954737347654676,-6.287872273803108,-27.657401745999618,-27.093627461971796,-34.289642534523196,-34.956507608374764,-28.001770260720082,-22.984276224828495
8,,,,,,,,,,105559.91370857033,0.103302001953125,cf1,0.022008,0.020396,0.04776714816066214,105608.94292998627,0.0016120000000000002,98.0392156862745,87412.58741258741,0.0487060546875,fm1,0.024296,0.002288,0.01796896657613135,105332.16783216783,0.022008,871.0801393728223,segment_matching_annotaudio_Aditya_2018-08-16_21502300_18_hp,-10,Aditya_2018-08-16_21502300_18,2,,,,,-8.492124250764801,,-26.248340958900144,-34.909537982794674,,-26.417413732029868,-19.717825238771095
9,99264.70588235294,0.01220703125,fm1,0.000916,0.000816,0.006330016094156565,106617.64705882351,0.0001,2427.184466019417,108539.32584269663,0.03192138671875,cf1,0.018716,0.0178,0.01460845304266451,108651.68539325843,0.000916,112.30907457322552,89572.19251336901,0.04351806640625,fm2,0.020212,0.0014960000000000002,0.017439387226466457,97593.58288770054,0.018716,1329.7872340425529,segment_matching_annotaudio_Aditya_2018-08-16_21502300_20_hp,-10,Aditya_2018-08-16_21502300_20,2,,,,-7.2639882935793745,1.5385398403541615,-38.26779887263511,-27.226608188877425,-35.1693755816925,-43.97190371562604,-36.70791542204667,-29.91836500856925
10,103305.78512396694,0.05047607421875,fm1,0.001936,0.001936,0.017798727969013346,105888.42975206609,0.0,1028.80658436214,107620.1875124676,0.314453125,cf1,0.062091999999999994,0.060155999999999994,0.14929682913702222,107653.43440388324,0.001936,33.244680851063826,102725.36687631028,0.045166015625,fm2,0.064,0.0019079999999999998,0.015075461352218229,105345.91194968554,0.062091999999999994,1046.0251046025103,segment_matching_annotaudio_Aditya_2018-08-16_21502300_22_hp,-10,Aditya_2018-08-16_21502300_22,2,,,,-18.47323237054851,-19.915599446529527,-25.9382885948638,-26.903764391295212,-36.43458776663287,-34.99222069065185,-16.518988320103347,-10.048881698879622
11,92039.8009950249,0.042266845703125,fm1,0.002344,0.0016079999999999998,0.02031066394797113,103855.72139303484,0.000736,1237.6237623762374,105133.68983957221,0.07415771484375,cf1,0.021044,0.0187,0.03912734247212378,105401.0695187166,0.002344,106.92899914456801,90616.04584527221,0.059783935546875,fm2,0.023836000000000003,0.002792,0.024684871374433228,105300.85959885387,0.021044,714.2857142857142,segment_matching_annotaudio_Aditya_2018-08-16_21502300_24_hp,-10,Aditya_2018-08-16_21502300_24,1,,,,-5.695124621489818,-4.0009896610688855,-27.48000323118501,-24.46830997929963,-32.15138262837405,-33.845517588794976,-28.150392967305162,-22.596873227228116
